applicant_index,original_sex_code,original_sex_group,original_group,flipped_sex_code,flipped_sex_group,flipped_group,actual_default,original_probability,flipped_probability,absolute_probability_change,baseline_decision_changed,recall_policy_decision_changed
1,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.35471773,0.35471773,0.0,False,False
11,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.12579839,0.12579839,0.0,False,False
14,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.04775507,0.04775507,0.0,False,False
17,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.10497253,0.10497253,0.0,False,False
20,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.073576584,0.073576584,0.0,False,False
21,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.2530044,0.2530044,0.0,False,False
26,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.19041774,0.19041774,0.0,False,False
33,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.056413796,0.056413796,0.0,False,False
34,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.059381567,0.059381567,0.0,False,False
45,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.24979673,0.24979673,0.0,False,False
54,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.6528306,0.6528306,0.0,False,False
63,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.15596688,0.15596688,0.0,False,False
65,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.26834896,0.26834896,0.0,False,False
66,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.7017525,0.7017525,0.0,False,False
73,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.22992839,0.22992839,0.0,False,False
75,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.3194635,0.3194635,0.0,False,False
82,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.12336446,0.12336446,0.0,False,False
83,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.12797852,0.12797852,0.0,False,False
90,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.79411644,0.79411644,0.0,False,False
92,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.111068495,0.111068495,0.0,False,False
104,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.6814839,0.6814839,0.0,False,False
109,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.4151387,0.4151387,0.0,False,False
113,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.070906386,0.070906386,0.0,False,False
118,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.049918763,0.049918763,0.0,False,False
131,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.19745353,0.19745353,0.0,False,False
141,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.22168499,0.22168499,0.0,False,False
149,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.22472368,0.22472368,0.0,False,False
154,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.13210446,0.13210446,0.0,False,False
158,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.7178439,0.7178439,0.0,False,False
163,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.17760885,0.17760885,0.0,False,False
164,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.10982357,0.10982357,0.0,False,False
176,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.1545078,0.1545078,0.0,False,False
178,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.18908533,0.18908533,0.0,False,False
181,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.045769513,0.045769513,0.0,False,False
188,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.13958865,0.13958865,0.0,False,False
192,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.10270733,0.10270733,0.0,False,False
197,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.1865331,0.1865331,0.0,False,False
198,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.12194277,0.12194277,0.0,False,False
201,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.16951342,0.16951342,0.0,False,False
205,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.22053866,0.22053866,0.0,False,False
209,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11107045,0.11107045,0.0,False,False
210,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.05193494,0.05193494,0.0,False,False
212,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.19179745,0.19179745,0.0,False,False
214,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.82557744,0.82557744,0.0,False,False
215,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.3729526,0.3729526,0.0,False,False
220,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.7072715,0.7072715,0.0,False,False
226,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.15525831,0.15525831,0.0,False,False
238,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.1445008,0.1445008,0.0,False,False
239,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.061824467,0.061824467,0.0,False,False
243,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.31131,0.31131,0.0,False,False
244,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.51697135,0.51697135,0.0,False,False
246,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.09267438,0.09267438,0.0,False,False
