applicant_position,sex_code,sex_group,group,nearest_other_group_position,nearest_other_sex_code,nearest_other_sex_group,nearest_other_group,feature_distance,original_probability,neighbour_probability,probability_difference,original_actual_default,neighbour_actual_default
2,1,Male,Male (SEX=1),4383,2,Female,Female (SEX=2),0.6534308800294688,0.04775507,0.047085952,0.0006691179999999963,0,0
3,1,Male,Male (SEX=1),4422,2,Female,Female (SEX=2),6.811950085853815,0.10497253,0.11742635,0.012453820000000004,0,0
6,1,Male,Male (SEX=1),4349,2,Female,Female (SEX=2),0.8966730945555009,0.19041774,0.19770125,0.007283509999999993,1,0
8,1,Male,Male (SEX=1),4720,2,Female,Female (SEX=2),0.6662462141451004,0.059381567,0.061086763,0.001705195999999999,0,0
9,1,Male,Male (SEX=1),3788,2,Female,Female (SEX=2),0.2323970137370878,0.24979673,0.17570007,0.07409665999999998,1,0
12,1,Male,Male (SEX=1),5232,2,Female,Female (SEX=2),5.372487739976873,0.26834896,0.09711121,0.17123775000000002,1,1
13,1,Male,Male (SEX=1),5141,2,Female,Female (SEX=2),2.1142401598878284,0.7017525,0.74915403,0.047401530000000025,1,1
15,1,Male,Male (SEX=1),1162,2,Female,Female (SEX=2),0.666433152418221,0.3194635,0.23069137,0.08877213,0,0
16,1,Male,Male (SEX=1),3377,2,Female,Female (SEX=2),1.015446561470167,0.12336446,0.103287265,0.020077194999999992,1,0
18,1,Male,Male (SEX=1),4461,2,Female,Female (SEX=2),2.2983656465047444,0.79411644,0.80694747,0.012831029999999966,1,1
21,1,Male,Male (SEX=1),395,2,Female,Female (SEX=2),0.3227937254116727,0.4151387,0.26814634,0.14699236000000004,0,1
23,1,Male,Male (SEX=1),4410,2,Female,Female (SEX=2),1.534835906190008,0.049918763,0.04439531,0.005523452999999998,0,0
24,1,Male,Male (SEX=1),14,2,Female,Female (SEX=2),1.6221749604715323,0.19745353,0.22992839,0.03247486000000002,0,0
25,1,Male,Male (SEX=1),3767,2,Female,Female (SEX=2),0.1972996330180662,0.22168499,0.18589358,0.035791409999999996,0,0
28,1,Male,Male (SEX=1),4657,2,Female,Female (SEX=2),4.793021389664725,0.7178439,0.46643487,0.25140903,1,0
31,1,Male,Male (SEX=1),2105,2,Female,Female (SEX=2),1.8264490715563997,0.1545078,0.13969849,0.014809309999999992,0,0
38,1,Male,Male (SEX=1),344,2,Female,Female (SEX=2),2.321369949648277,0.16951342,0.13546917,0.03404425,0,1
39,1,Male,Male (SEX=1),4281,2,Female,Female (SEX=2),3.3865113978460286,0.22053866,0.11903106,0.1015076,0,0
41,1,Male,Male (SEX=1),3254,2,Female,Female (SEX=2),3.8835795069238257,0.05193494,0.065407135,0.013472195000000006,0,0
43,1,Male,Male (SEX=1),1391,2,Female,Female (SEX=2),4.171065681713321,0.82557744,0.69591993,0.12965751000000003,0,0
44,1,Male,Male (SEX=1),5197,2,Female,Female (SEX=2),1.3614255003574987,0.3729526,0.2426006,0.13035200000000002,0,0
46,1,Male,Male (SEX=1),2139,2,Female,Female (SEX=2),0.941970161013575,0.15525831,0.25741044,0.10215213000000001,0,0
53,1,Male,Male (SEX=1),3686,2,Female,Female (SEX=2),2.146205671429006,0.13323326,0.24919215,0.11595889000000001,0,0
