sex_code,sex_group,group,feature,mean_abs_shap,mean_shap,n,mean_abs_shap_difference
1,Male,Male (SEX=1),MaxPaymentDelay,0.4669584631919861,-0.01674574241042137,600,0.012964516878128052
2,Female,Female (SEX=2),MaxPaymentDelay,0.45399394631385803,-0.06456013023853302,600,0.012964516878128052
2,Female,Female (SEX=2),PAY_0,0.23529283702373505,-0.08919865638017654,600,-0.003527820110321045
1,Male,Male (SEX=1),PAY_0,0.231765016913414,-0.08646383881568909,600,-0.003527820110321045
2,Female,Female (SEX=2),BILL_AMT1,0.11758984625339508,-0.026201795786619186,600,-0.0011207833886146545
1,Male,Male (SEX=1),BILL_AMT1,0.11646906286478043,-0.019912192597985268,600,-0.0011207833886146545
1,Male,Male (SEX=1),NumDelayedMonths,0.09597199410200119,-0.023861385881900787,600,0.005298733711242676
2,Female,Female (SEX=2),NumDelayedMonths,0.09067326039075851,-0.03980674222111702,600,0.005298733711242676
1,Male,Male (SEX=1),AvgPaymentAmount,0.08097777515649796,-0.01801471598446369,600,0.00762581080198288
1,Male,Male (SEX=1),PAY_AMT2,0.0762077048420906,-0.018435148522257805,600,0.004230372607707977
1,Male,Male (SEX=1),LIMIT_BAL,0.07487637549638748,-0.00018633146828506142,600,0.005830980837345123
2,Female,Female (SEX=2),AvgPaymentAmount,0.07335196435451508,-0.013689244166016579,600,0.00762581080198288
2,Female,Female (SEX=2),RecentPaymentDelay,0.07291384041309357,-0.02357575111091137,600,-0.00012221187353134155
1,Male,Male (SEX=1),RecentPaymentDelay,0.07279162853956223,-0.023902367800474167,600,-0.00012221187353134155
2,Female,Female (SEX=2),PAY_AMT2,0.07197733223438263,-0.01474485732614994,600,0.004230372607707977
2,Female,Female (SEX=2),LIMIT_BAL,0.06904539465904236,-0.008774343878030777,600,0.005830980837345123
1,Male,Male (SEX=1),AvgBillAmount,0.06814739108085632,-0.004773986525833607,600,0.0029672980308532715
2,Female,Female (SEX=2),AvgBillAmount,0.06518009305000305,-0.009328151121735573,600,0.0029672980308532715
1,Male,Male (SEX=1),BillToLimitRatio_1,0.0649140328168869,-0.0011966212186962366,600,0.0005067586898803711
2,Female,Female (SEX=2),BillToLimitRatio_1,0.06440727412700653,-0.012080920860171318,600,0.0005067586898803711
1,Male,Male (SEX=1),PAY_AMT1,0.06437108665704727,-0.010900155641138554,600,0.001035943627357483
2,Female,Female (SEX=2),PAY_AMT1,0.06333514302968979,-0.010573641397058964,600,0.001035943627357483
2,Female,Female (SEX=2),PAY_AMT3,0.04493207111954689,-0.008237919770181179,600,-0.0001295134425163269
2,Female,Female (SEX=2),PAY_AMT6,0.044807370752096176,-0.0032036046031862497,600,-0.00021620094776153564
1,Male,Male (SEX=1),PAY_AMT3,0.04480255767703056,-0.0067214202135801315,600,-0.0001295134425163269
1,Male,Male (SEX=1),PAY_AMT6,0.04459116980433464,-0.0011618876596912742,600,-0.00021620094776153564
1,Male,Male (SEX=1),BillToLimitRatio_2,0.044301457703113556,-0.0045280735939741135,600,9.603425860404968e-05
2,Female,Female (SEX=2),BillToLimitRatio_2,0.044205423444509506,-0.010990857146680355,600,9.603425860404968e-05
2,Female,Female (SEX=2),AvgBillToLimitRatio,0.03988412395119667,-0.009275024756789207,600,-0.0004062950611114502
1,Male,Male (SEX=1),AvgBillToLimitRatio,0.03947782889008522,-0.0018213375005871058,600,-0.0004062950611114502
1,Male,Male (SEX=1),AGE,0.037268370389938354,0.0043752314522862434,600,0.0037072747945785522
2,Female,Female (SEX=2),MARRIAGE,0.03520136699080467,0.0022011306136846542,600,-0.000590592622756958
1,Male,Male (SEX=1),MARRIAGE,0.034610774368047714,-0.003315276699140668,600,-0.000590592622756958
2,Female,Female (SEX=2),AGE,0.0335610955953598,-0.0022171512246131897,600,0.0037072747945785522
1,Male,Male (SEX=1),AvgPaymentToBillRatio,0.033081792294979095,-0.00735901203006506,600,0.002542877569794655
2,Female,Female (SEX=2),AvgPaymentToBillRatio,0.03053891472518444,-0.01068802084773779,600,0.002542877569794655
2,Female,Female (SEX=2),PAY_AMT4,0.02908228524029255,-0.0075645470060408115,600,-0.00016872957348823547
1,Male,Male (SEX=1),PAY_AMT4,0.028913555666804314,-0.0041045695543289185,600,-0.00016872957348823547
1,Male,Male (SEX=1),EDUCATION,0.028641436249017715,-0.004194021224975586,600,0.0051553864032030106
1,Male,Male (SEX=1),PaymentToLimitRatio,0.02452283538877964,0.002808905439451337,600,0.0016731414943933487
2,Female,Female (SEX=2),EDUCATION,0.023486049845814705,-0.00019797483400907367,600,0.0051553864032030106
2,Female,Female (SEX=2),PaymentToLimitRatio,0.02284969389438629,-0.0009392542415298522,600,0.0016731414943933487
1,Male,Male (SEX=1),BillToLimitRatio_3,0.0227363221347332,-0.0011736038140952587,600,0.0009605623781681061
2,Female,Female (SEX=2),BillToLimitRatio_3,0.021775759756565094,-0.004754384979605675,600,0.0009605623781681061
2,Female,Female (SEX=2),PAY_2,0.02145320177078247,-0.008147881366312504,600,-0.0007271654903888702
2,Female,Female (SEX=2),BILL_AMT2,0.020813893526792526,0.0018762312829494476,600,-0.0004757773131132126
1,Male,Male (SEX=1),PAY_2,0.0207260362803936,-0.005283677484840155,600,-0.0007271654903888702
1,Male,Male (SEX=1),BILL_AMT2,0.020338116213679314,0.001387608703225851,600,-0.0004757773131132126
1,Male,Male (SEX=1),PAY_AMT5,0.0135019076988101,-0.00668726209551096,600,0.0011458080261945724
2,Female,Female (SEX=2),PAY_AMT5,0.012356099672615528,-0.005898770876228809,600,0.0011458080261945724
2,Female,Female (SEX=2),PAY_6,0.011442441493272781,-0.004779221024364233,600,-8.133053779602051e-05
1,Male,Male (SEX=1),PAY_6,0.01136111095547676,-0.0022029720712453127,600,-8.133053779602051e-05
1,Male,Male (SEX=1),BILL_AMT5,0.010972862131893635,0.0019884214270859957,600,0.0005024038255214691
1,Male,Male (SEX=1),BILL_AMT3,0.01086223591119051,0.003934269305318594,600,0.002622731029987335
1,Male,Male (SEX=1),BillToLimitRatio_6,0.010611768811941147,0.001154171652160585,600,0.0009520398452877998
1,Male,Male (SEX=1),BILL_AMT4,0.010571567341685295,0.0007590609020553529,600,0.0012727528810501099
2,Female,Female (SEX=2),BILL_AMT5,0.010470458306372166,0.0008613885729573667,600,0.0005024038255214691
2,Female,Female (SEX=2),BillToLimitRatio_6,0.009659728966653347,0.0001256406249012798,600,0.0009520398452877998
1,Male,Male (SEX=1),BILL_AMT6,0.009468168020248413,0.001359162968583405,600,0.0001445077359676361
2,Female,Female (SEX=2),BILL_AMT6,0.009323660284280777,0.0007391981198452413,600,0.0001445077359676361
2,Female,Female (SEX=2),BILL_AMT4,0.009298814460635185,0.0012575008440762758,600,0.0012727528810501099
2,Female,Female (SEX=2),PAY_3,0.00838042888790369,-0.004087827168405056,600,-0.00037479866296052933
2,Female,Female (SEX=2),BILL_AMT3,0.008239504881203175,0.0020225783810019493,600,0.002622731029987335
1,Male,Male (SEX=1),PAY_3,0.008005630224943161,-0.003570298431441188,600,-0.00037479866296052933
1,Male,Male (SEX=1),BillToLimitRatio_4,0.007592563051730394,-0.003285248065367341,600,0.0010423376224935055
2,Female,Female (SEX=2),BillToLimitRatio_4,0.006550225429236889,-0.002144234487786889,600,0.0010423376224935055
1,Male,Male (SEX=1),BillToLimitRatio_5,0.0059166643768548965,0.000302392290905118,600,0.0009687244892120361
1,Male,Male (SEX=1),PAY_4,0.005890294443815947,0.002735383342951536,600,0.00015523098409175873
2,Female,Female (SEX=2),PAY_4,0.005735063459724188,0.002302638255059719,600,0.00015523098409175873
2,Female,Female (SEX=2),BillToLimitRatio_5,0.00494793988764286,0.0008476321818307042,600,0.0009687244892120361
1,Male,Male (SEX=1),PAY_5,0.0037672456819564104,-0.0012096645077690482,600,0.0005133054219186306
2,Female,Female (SEX=2),PAY_5,0.00325394026003778,-0.0017529138131067157,600,0.0005133054219186306
