feature,correlation_with_target
StressSignalCount,0.4045171062415088
BureauScore,-0.3387380129572043
SpendingSpikeFlag,0.29567324407168866
MissedEMIs_Last6M,0.2941605433625835
SalaryDropFlag,0.28052519721988894
MissedPayments_Last12M,0.2779508539418845
LoanToAnnualIncome,0.24054771661250737
AnnualIncome_AED,-0.21594327062854754
HistoricalRiskScore,0.21529861367401562
MissedPaymentRate,0.21228253440927333
EMIToIncome,0.2102633869140872
LoanAmount_AED,0.15951560949077498
ObligationsToIncome,0.13680733123993646
EMI_AED,0.11630658573081241
OnTimePayments_Last12M,-0.013237772200235374
Unemployment_pct,-0.01054916525215032
PastDefaults,0.0074775215277509775
StdMonthlyDebit_AED,-0.005838413015138518
AvgMonthlyDebit_AED,-0.005479050419317301
Inflation_pct,-0.004372637130167374
InterestRate_pct,-0.0036442262411724574
LoanStartYear,0.003560966900975896
OtherObligations_AED,-0.002964408227304308
Age,0.0023943933598654767
LoanStartQuarter,-0.002257815407172952
LoanTenureMonths,-0.001682450547472797
LoanStartMonth,0.00010075319869909205
