feature,mutual_information
PAY_0,0.07552857774934951
RecentPaymentDelay,0.07549088699538498
NumDelayedMonths,0.07142142752335845
MaxPaymentDelay,0.07056475455448985
PAY_2,0.04999930099744421
PAY_3,0.036233163949041636
PAY_4,0.029669500654784686
PAY_5,0.028025166822981618
PAY_6,0.02587392097569441
AvgPaymentAmount,0.02274486051309177
PAY_AMT1,0.020298319887437355
PAY_AMT2,0.019116076907783608
PAY_AMT3,0.017593471139358607
BillToLimitRatio_2,0.01600682680546517
AvgPaymentToBillRatio,0.015799112035704166
PAY_AMT5,0.015687145014130266
AvgBillToLimitRatio,0.015598095398148937
PAY_AMT4,0.014920687351385187
BillToLimitRatio_4,0.014564784047405466
BillToLimitRatio_5,0.014261963805092925
LIMIT_BAL,0.013756239069905307
BillToLimitRatio_3,0.013203443590799724
BillToLimitRatio_6,0.012712981453436134
PAY_AMT6,0.011918060527856156
BillToLimitRatio_1,0.01191691367254788
AvgBillAmount,0.011419264527363415
PaymentToLimitRatio,0.010758372624415147
BILL_AMT1,0.0100053183531148
BILL_AMT5,0.008572374646215186
BILL_AMT3,0.006417239388575746
BILL_AMT6,0.005896213067008382
BILL_AMT2,0.005784830036625888
MARRIAGE,0.005516310091459031
BILL_AMT4,0.004263944524405039
EDUCATION,0.0042361591777797525
AGE,0.001493075442666969
