feature,roc_auc,accuracy
BureauScore,0.7091722798254245,0.7135
StressSignalCount,0.6848850879184643,0.6955
MissedPayments_Last12M,0.675213300032796,0.6605
MissedEMIs_Last6M,0.6620459648326144,0.642
LoanToAnnualIncome,0.6589944246827619,0.6705
MissedPaymentRate,0.6521869875627537,0.619
HistoricalRiskScore,0.6232750573929715,0.598
EMIToIncome,0.6175181008602639,0.6235
SpendingSpikeFlag,0.6088145513257145,0.636
AnnualIncome_AED,0.6046161608516865,0.5855
SalaryDropFlag,0.6015464567723706,0.6335
LoanAmount_AED,0.5883654986250915,0.573
ObligationsToIncome,0.562891092106259,0.5665
EMI_AED,0.5424435530664244,0.5405
LoanTenureMonths,0.52178056964101,0.534
LoanType,0.5142031837331921,0.5475
InterestRate_pct,0.5098413178939933,0.526
LoanStartMonth,0.5095103307348823,0.5475
Age,0.5090612780342593,0.551
PastDefaults,0.5086641943540453,0.5475
OnTimePayments_Last12M,0.5043169605691364,0.5475
EmploymentStatus,0.5039254269784808,0.5475
LoanStartYear,0.5007689396806175,0.5475
OtherObligations_AED,0.5006851837836473,0.514
AvgMonthlyDebit_AED,0.5003521784101517,0.539
Inflation_pct,0.4947153056333409,0.5325
Nationality,0.4931860036832413,0.5475
Gender,0.49005272585080345,0.5475
Unemployment_pct,0.48797598324882063,0.518
StdMonthlyDebit_AED,0.48450162718534784,0.5155
LoanStartQuarter,0.47911400388506276,0.5475
City,0.4770019425313454,0.5475
